ftp,россия запускать соцсеть россграм должный заменить instagram автор александр зоб некоторый данные однокурсник дуров факт не гарантировать запуск россграм наметить,2022-03-16,Political,positive
ftp,youtube заблокировать аккаунт телеканал спасти беседа батюшка ftp live,2022-03-16,Humanitarian,positive
ftp,военнослужащий украина продавать орган украинский солдат погибнуть тяжело ранить ход спецоперация рф украина заявить глава кпрф геннадий зюганов больной фантазия,2022-03-16,Political,neutral
ftp,весь страна сайт арбитражный судно взломать не открываться сайт московский городской суд пресссекретарить арбитражный суд приморский край инга сорокин риа,2022-03-16,Political,negative
ftp,стамбул завершиться благотворительный концерт oxxymiron собрать порядок млн рубль пойти помощь ребёнок украинский эмигрант,2022-03-15,Political,positive
ftp,будущееrussian edition,2022-03-15,Humanitarian,neutral
ftp,марин овсянников оштрафовать рубль,2022-03-15,Economical,negative
ftp,успех спецоперация,2022-03-15,Shelling,neutral
ftp,мария овсянников выбежать антивоенный плакат прямой эфир первый канал суд защищать беларус антон гашинский антон гашинский бывший беларуский адвокат лишённый,2022-03-15,Political,neutral
ftp,apple добавить банковский карта платёжный система качество возможный способ оплата учётный запись apple id,2022-03-15,Economical,positive
лентач,журналистка фарид рустамов изз антивоенный акция марина овсянников вчерашний день выпуск новость программа первый канал идти задержка секунда минута рассказать,2022-03-16,Political,positive
лентач,директор свр нарышкин решаться судьба россия определяться будущее мир,2022-03-16,Economical,positive
лентач,собянин выделить грант поддержка отечественный сеть быстрый питание москва условие получение грант открытие новый точка общественный питание сегмент недорогой кафе,2022-03-16,Economical,positive
лентач,газпром поставлять газ транзит европа украина штатный режим заявка снизиться млн куб сообщить тасс представитель компания,2022-03-16,Economical,neutral
лентач,ютуба заблокировать аккаунт телеканал спасти писать тасс ссылка прессслужба канал,2022-03-16,Political,neutral
лентач,яндекс сообщить тигран худавердяный уходить совет директор должность голландский структура группа вчера попасть персональный санкция ес крайне удивить тигран попасть,2022-03-16,Economical,neutral
лентач,fitch понизить долгосрочный рейтинг российский банк b сс согласно критерий fitch уровень cc означать дефолт представляться вероятный тот иной форма,2022-03-16,Economical,negative
лентач,зеленский март выступить конгресс сша сообщать тасс,2022-03-16,Political,neutral
лентач,the wall street journal байден март намеренный объявить выделение украина военный помощь сумма млрд,2022-03-16,Political,positive
лентач,премьерминистр япония фумио кисида принять решение лишить россия статус благоприятствуемый нация торговля изз ситуация украина сообщить телеканал nhk подчёркиваться официально,2022-03-16,Political,positive
украина новости,юг сбить истребитель оккупант пилот катапультироваться упасть море командование воздушный сила всу ус подписаться,2022-03-16,Shelling,negative
